exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,36.004174401445821833000000000000000000,17301783616.5540367302919629,552,True,https://www.binance.com/,1732129378922
crypto,Crypto.com Exchange,2,11.689052601962745947000000000000000000,5617166958.1057231276571777,107,False,https://api.crypto.com/,1732129343795
gdax,Coinbase Pro,3,10.229479019391991979000000000000000000,4915769780.7533198968449114,211,True,https://pro.coinbase.com/,1732129398783
digifinex,DigiFinex,4,8.488265980580471699000000000000000000,4079030937.8643227147942991,126,False,https://www.digifinex.com/,1732129398354
gate,Gate,5,3.974652108587297626000000000000000000,1910016598.8279436432713938,1091,False,https://gate.io/,1732129398278
kraken,Kraken,6,3.710678040522292537000000000000000000,1783164024.5925844518448610,288,False,https://kraken.com,1732129396197
bitmax,AscendEX (Bitmax),7,3.252471677452888660000000000000000000,1562973241.7916694007030762,135,False,https://www.bitmax.io/,1732129352582
huobi,Huobi,8,3.237687788135182393000000000000000000,1555868852.9745836005301253,198,True,https://www.hbg.com/,1732129397957
lbank,LBank,9,2.196957817234834181000000000000000000,1055746712.7191659792242992,113,False,https://www.lbank.info,1732129396334
bigone,BigONE,10,2.149594889246863091000000000000000000,1032986487.1309519740823444,62,False,https://big.one/,1732129390265
bitstamp,Bitstamp,11,2.118461286302701189000000000000000000,1018025253.5990433062003967,90,True,https://www.bitstamp.net/,1732129398337
kucoin,Kucoin,12,2.065069965325213851000000000000000000,992368087.5089531362538502,515,False,https://www.kucoin.io/,1732129398807
currency-com,Currency.com,13,1.702603153238079796000000000000000000,818184886.3893099427238971,39,False,https://currency.com/,1732129398032
probit,ProBit,14,1.484837105963799023000000000000000000,713537547.8067987570044943,307,False,https://www.probit.com/en-us/,1732129398798
tidex,Tidex,15,1.144600106299137546000000000000000000,550036869.2213970490854426,26,False,https://tidex.com/,1732129398865
bitfinex,Bitfinex,16,0.865006790746037054000000000000000000,415678475.3197055072959691,157,True,https://bitfinex.com,1732129373204
uniswap-42161-univ3,UNISWAP UNIV3 (Arbitrum),17,0.716049630140768793000000000000000000,344097204.4317068919837088,4,True,https://uniswap.org/,1732129398215
hitbtc,HitBTC,18,0.580968258823813372000000000000000000,279183935.4564433273321475,242,True,https://hitbtc.com/,1732129347717
dex-trade,Dex-Trade,19,0.579942031900439753000000000000000000,278690782.7466570051422064,78,False,https://dex-trade.com/,1732129398250
yobit,YoBit,20,0.505745026621818097000000000000000000,243035458.0053270582054487,10,False,https://yobit.net,1732129384042
gemini,Gemini,21,0.442900404138256923000000000000000000,212835513.7557808601379765,58,True,https://gemini.com/,1732129372524
coincheck,coincheck,22,0.417789707221084749000000000000000000,200768583.9693187419981876,1,False,coincheck,1732129380082
btcturk,BTCTurk,23,0.349264546119702836000000000000000000,167838860.4198737356487651,83,False,https://www.btcturk.com/,1732129379796
bibox,Bibox,24,0.307985848990175851000000000000000000,148002408.1867219553031499,128,False,https://www.bibox.com,1732129335014
